ID;Aspect;Slope;Form;PhysD;ZoogD;Snow;abudancia ;Agro.rupe;Alop.alpi;Anth.nipp;Aven.vers;Care.rosa;Care.foet;Care.semp;Fest.quad;Fest.viol;Kobr.myos;Poa.alpi;Alch.pent;Alch.glau;Camp.sche;Card.alpi;Cera.stri;Leuc.alpi;Erig.unif;Gent.vern;Geum.mont;Omal.supi;Leon.pyre;Ligu.muto;Minu.sedo;Plan.alpi;Poly.vivi;Pote.aure;Puls.vern;Ranu.kuep;Sagi.glab;Sali.herb;Sedu.alpe;Semp.mont;Sibb.proc;Vero.bell;otras
AR72;5;20;4;10;some;140;24;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;11
AR01;9;30;3;30;no;140;32;1;0;0;0;0;0;0;0;1;5;1;0;0;1;0;2;0;1;1;0;0;0;1;1;0;2;0;1;0;0;0;0;1;0;1;12
AR23;5;10;3;20;some;140;33;2;0;0;2;2;0;3;3;0;4;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;1;0;2;0;0;0;0;1;0;1;8
AR08;8;20;3;60;some;160;38;3;1;2;1;2;0;0;0;0;3;2;0;1;1;0;0;1;1;1;2;1;1;0;2;1;2;1;0;0;0;0;0;1;1;1;6
AR12;9;5;3;40;no;150;33;2;0;0;1;1;0;0;2;0;3;3;0;0;1;0;1;0;1;2;0;0;0;0;1;0;1;1;1;0;0;0;0;2;1;2;7
AR13;9;7;2;70;no;140;33;0;0;0;1;2;0;0;2;0;3;2;0;0;1;0;1;0;1;1;0;0;0;1;2;0;1;0;1;0;0;0;0;1;0;0;13
AR61;8;15;4;10;no;150;29;3;0;2;0;1;0;0;0;0;0;2;0;1;1;0;1;0;0;0;2;0;2;0;2;1;2;2;0;0;0;0;0;0;1;1;5
AR49;5;2;1;65;no;150;26;2;0;0;0;3;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;2;0;1;0;0;3;1;1;1;1;6
AR50;5;0;1;40;no;160;26;1;0;0;0;3;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;1;0;2;1;1;0;0;3;1;1;1;1;5
AR52;3;5;1;70;no;150;21;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;1;0;0;1;0;1;1;1;6
AR29;2;7;3;50;no;160;35;3;1;0;1;2;0;0;1;0;2;2;0;0;1;0;1;1;1;1;1;0;0;1;1;1;3;1;0;0;0;2;1;0;1;1;5
AR30;2;10;3;50;no;150;31;2;0;0;1;3;0;1;0;0;2;2;0;0;1;0;1;0;0;1;1;0;0;1;1;0;2;1;1;0;0;0;0;0;1;1;8
AR51;5;0;1;70;no;150;28;1;0;0;0;2;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;0;1;1;1;0;2;1;1;0;0;2;1;1;1;1;6
AR05;9;10;4;20;high;150;40;0;0;2;2;0;1;1;0;3;0;2;0;3;1;0;1;0;1;1;3;0;2;0;2;0;0;3;1;0;0;0;0;1;1;1;8
AR53;6;30;4;40;high;160;29;0;0;1;0;1;0;3;0;3;0;1;0;0;1;0;1;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;13
AR06;8;20;3;40;high;160;44;0;0;0;2;2;0;2;1;3;2;3;0;0;1;0;1;1;1;1;3;0;1;0;0;1;2;0;0;1;0;0;1;3;1;1;10
AR16;8;7;3;20;high;150;27;0;0;1;2;0;0;3;0;3;0;0;0;2;1;0;1;0;1;1;3;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;4
AR56;6;10;3;80;high;160;15;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;0;2;0;0;1;0;3
AR75;8;7;3;20;high;150;27;0;0;1;2;0;0;3;0;3;0;0;0;2;1;0;1;0;1;1;3;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;5
AR69;8;30;2;30;high;160;41;3;1;2;0;1;0;1;0;0;1;1;0;3;1;0;1;1;0;1;2;1;1;0;2;2;1;2;0;1;0;2;0;1;1;1;7
AR15;8;20;4;20;high;150;33;0;2;0;0;0;0;0;0;0;0;3;0;3;1;0;2;0;0;0;3;0;1;0;1;2;0;1;0;2;1;0;0;0;2;0;9
AR63;7;2;1;40;high;160;33;3;0;0;0;2;0;0;0;0;0;1;0;1;1;0;1;1;1;1;1;1;2;1;1;1;0;3;1;0;0;0;0;1;1;2;6
AR74;7;10;3;60;high;160;16;1;0;3;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;3;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0
AR64;5;0;5;10;some;170;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
AR65;5;0;5;0;high;160;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
AR66;5;0;5;5;some;170;15;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;2;0;0;1;0;0;0;1;0;5
AR67;5;0;5;5;high;180;18;0;0;1;0;0;0;0;0;1;0;2;0;0;1;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;8
AR68;5;0;5;0;some;170;20;0;2;0;0;0;3;0;0;0;0;2;2;0;1;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;5
AR11;9;2;4;15;some;160;30;0;1;0;0;0;0;0;0;0;0;3;0;2;1;0;1;1;0;1;2;1;1;1;1;3;0;3;0;2;0;0;0;0;0;1;5
AR32;8;10;5;20;some;160;40;0;2;1;2;1;0;3;0;1;0;3;0;0;1;0;1;1;0;1;3;1;1;0;1;2;0;3;0;2;0;1;0;1;1;2;5
AR02;9;15;4;15;some;170;30;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;1;1;1;1;3;3;0;2;0;3;1;0;1;0;0;1;5
AR10;9;5;1;45;some;160;27;0;2;0;0;0;0;0;0;0;0;3;0;0;1;0;1;0;0;1;1;0;1;0;3;3;0;3;0;3;0;0;0;0;0;0;5
AR31;8;20;3;40;some;170;21;0;3;0;0;0;0;0;0;0;0;3;0;0;0;1;0;2;0;0;0;1;0;1;1;3;0;1;0;1;0;0;1;0;1;0;2
AR39;8;15;2;20;some;180;30;1;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;3;0;1;0;3;4;0;3;0;2;1;0;0;0;2;1;3
AR40;8;15;4;10;some;180;39;0;2;1;0;0;1;0;0;0;0;3;3;2;2;0;0;2;0;1;3;0;3;0;1;4;0;4;0;3;1;0;0;0;1;2;0
AR57;3;20;1;30;some;160;24;2;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;0;0;1;2;0;0;3;0;0;0;2;0;3;2;0;0;0;2
AR58;3;25;4;20;some;160;21;0;2;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;2;1;0;0;4;0;0;0;2;1;1;1;0;0;0;2
AR62;9;15;3;30;some;170;28;1;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;2;1;1;0;2;4;0;3;0;2;1;0;1;0;0;0;3
AR24;5;0;5;20;no;200;13;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6
AR37;5;0;5;30;no;210;12;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;6
AR38;5;0;5;0;no;210;23;0;1;0;0;0;1;0;0;0;0;0;3;0;0;2;0;1;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;7
AR03;9;5;5;20;no;190;24;0;3;0;0;0;3;0;0;0;0;0;5;0;0;2;0;0;0;0;1;2;0;0;0;1;0;0;0;0;2;0;0;0;2;0;3
AR14;8;10;4;5;no;170;22;0;3;0;0;0;3;0;0;0;0;2;3;0;0;1;0;0;0;1;1;1;0;0;0;1;0;1;0;0;2;0;0;0;2;0;1
AR19;5;0;5;10;no;190;16;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
AR20;5;0;5;0;no;180;28;1;2;0;0;0;3;0;0;0;0;2;4;0;0;0;0;0;0;0;1;3;0;0;0;2;1;0;0;0;1;4;0;0;2;0;2
AR36;9;2;5;10;no;200;18;0;0;0;0;0;3;0;0;0;0;1;5;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;0;2;0;0;0;1;0;1
AR42;5;0;5;0;no;180;28;0;3;0;0;0;3;0;0;0;0;2;5;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;5
AR44;5;0;5;0;no;190;28;0;4;0;0;0;3;0;0;0;0;0;5;0;0;2;0;0;0;0;2;2;3;0;0;0;0;0;0;0;0;0;0;0;3;0;4
AR34;7;5;3;20;no;190;19;0;3;0;0;0;5;0;0;0;0;1;2;0;0;2;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;1
AR35;7;2;3;30;some;190;21;0;2;0;0;0;5;0;0;0;0;1;2;0;0;2;0;0;0;0;2;1;1;0;0;1;0;1;0;0;1;0;0;0;1;0;1
AR46;5;0;5;20;no;200;22;0;2;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;3;0;0;0;0;0;5
AR47;6;15;3;25;some;190;21;1;0;0;0;0;1;0;0;0;0;1;3;0;0;1;0;0;0;1;2;1;1;0;0;2;0;0;0;1;0;3;1;0;1;0;1
AR48;5;10;4;25;no;180;23;1;2;0;0;0;2;0;0;0;0;1;3;0;0;0;0;0;0;0;1;1;1;0;0;3;0;0;0;1;2;0;1;0;0;0;4
AR41;5;0;1;50;some;180;28;0;1;0;0;0;3;0;0;0;0;1;2;0;0;1;0;0;0;0;2;1;1;0;1;1;1;2;0;1;0;4;0;0;3;1;2
AR43;5;0;1;50;no;190;25;0;2;0;0;0;2;0;0;0;0;2;3;0;0;2;0;0;0;0;2;2;2;0;0;1;0;0;0;0;0;0;0;0;3;1;3
AR45;5;0;1;40;no;200;18;0;1;0;0;0;3;0;0;0;0;2;3;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;2;0;0;0;1;0;3
AR21;5;17;2;20;some;170;32;2;1;0;0;0;0;0;0;0;0;2;1;0;0;0;1;1;0;0;1;1;3;0;1;1;1;2;0;0;0;4;2;0;1;1;6
AR73;5;2;1;30;some;160;29;1;1;2;0;1;0;0;0;0;0;2;0;0;1;0;0;2;0;0;1;2;0;1;1;3;0;1;0;0;1;4;1;0;0;0;4
AR04;5;0;1;35;some;180;33;1;1;0;0;1;0;0;0;0;1;1;0;1;0;0;1;1;1;0;0;1;1;1;2;0;3;2;0;0;1;4;1;0;1;2;5
AR09;8;2;1;40;some;160;23;1;1;0;0;0;1;0;0;0;0;3;2;0;0;0;0;3;0;0;1;1;0;1;0;2;0;0;0;0;0;3;2;0;1;0;1
AR17;5;10;2;40;some;180;29;0;3;0;0;0;0;0;0;0;0;3;0;0;1;0;0;1;0;0;1;2;1;0;1;3;1;2;0;2;0;4;1;0;0;1;2
AR18;5;0;1;20;some;180;28;0;3;1;0;0;0;0;0;0;0;3;0;0;1;0;1;2;0;0;0;1;0;0;2;2;0;0;0;1;0;4;2;0;1;1;3
AR33;9;2;1;70;some;170;17;1;2;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;1;1;0;0;1;3;0;0;0;0;1;3;0;0;0;0;0
AR55;7;15;1;30;some;160;29;2;1;1;0;2;0;0;0;0;2;1;0;0;1;0;0;1;0;0;1;1;2;0;1;1;1;2;0;1;0;4;0;0;1;2;1
AR59;3;10;2;25;some;160;23;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;2;0;1;2;0;1;0;0;1;4;0;0;1;1;2
